database	habitat	parameter	tp	fp	fn	accuracy	precision	taxonomy_level	tp	fp	fn	acc	precision
Database 4	Terrestrial	naive.90	37	4	76	31.62	90.24	genus	31.62%	3.42%	64.96%	31.62%	90.24%
Database 5	Terrestrial	blast.1.90	62	26	29	52.99	70.45	genus	52.99%	22.22%	24.79%	52.99%	70.45%
Database 5	Terrestrial	blast.1.95	60	23	34	51.28	72.29	genus	51.28%	19.66%	29.06%	51.28%	72.29%
Database 5	Terrestrial	blast.1.99	45	4	68	38.46	91.84	genus	38.46%	3.42%	58.12%	38.46%	91.84%
Database 5	Terrestrial	blast.10.95	13	5	99	11.11	72.22	genus	11.11%	4.27%	84.62%	11.11%	72.22%
Database 5	Terrestrial	blast.3.90	33	26	58	28.21	55.93	genus	28.21%	22.22%	49.57%	28.21%	55.93%
Database 5	Terrestrial	naive.70	36	12	69	30.77	75	genus	30.77%	10.26%	58.97%	30.77%	75%
Database 5	Terrestrial	naive.80	33	8	76	28.21	80.49	genus	28.21%	6.84%	64.96%	28.21%	80.49%
Database 5	Terrestrial	naive.90	33	5	79	28.21	86.84	genus	28.21%	4.27%	67.52%	28.21%	86.84%
Database 1	Marine	blast.1.90	127	90	4	57.47	58.53	order	57.47%	40.72%	1.81%	57.47%	58.53%
Database 1	Marine	blast.1.95	86	80	55	38.91	51.81	order	38.91%	36.2%	24.89%	38.91%	51.81%
Database 1	Marine	blast.1.99	9	28	184	4.07	24.32	order	4.07%	12.67%	83.26%	4.07%	24.32%
Database 1	Marine	blast.10.95	87	80	54	39.37	52.1	order	39.37%	36.2%	24.43%	39.37%	52.1%
Database 1	Marine	blast.3.90	124	90	7	56.11	57.94	order	56.11%	40.72%	3.17%	56.11%	57.94%
Database 1	Marine	naive.70	122	81	18	55.2	60.1	order	55.2%	36.65%	8.14%	55.2%	60.1%
Database 1	Marine	naive.80	118	80	23	53.39	59.6	order	53.39%	36.2%	10.41%	53.39%	59.6%
Database 1	Marine	naive.90	114	79	28	51.58	59.07	order	51.58%	35.75%	12.67%	51.58%	59.07%
Database 2	Marine	blast.1.90	127	90	4	57.47	58.53	order	57.47%	40.72%	1.81%	57.47%	58.53%
Database 2	Marine	blast.1.95	87	80	54	39.37	52.1	order	39.37%	36.2%	24.43%	39.37%	52.1%
Database 2	Marine	blast.1.99	9	8	204	4.07	52.94	order	4.07%	3.62%	92.31%	4.07%	52.94%
Database 2	Marine	blast.10.95	85	81	55	38.46	51.2	order	38.46%	36.65%	24.89%	38.46%	51.2%
Database 2	Marine	blast.3.90	125	89	7	56.56	58.41	order	56.56%	40.27%	3.17%	56.56%	58.41%
Database 2	Marine	naive.70	121	80	20	54.75	60.2	order	54.75%	36.2%	9.05%	54.75%	60.2%
Database 2	Marine	naive.80	119	76	26	53.85	61.03	order	53.85%	34.39%	11.76%	53.85%	61.03%
Database 2	Marine	naive.90	116	77	28	52.49	60.1	order	52.49%	34.84%	12.67%	52.49%	60.1%
Database 3	Marine	blast.1.90	167	50	4	75.57	76.96	order	75.57%	22.62%	1.81%	75.57%	76.96%
Database 3	Marine	blast.1.95	119	48	54	53.85	71.26	order	53.85%	21.72%	24.43%	53.85%	71.26%
Database 3	Marine	blast.1.99	15	2	204	6.79	88.24	order	6.79%	0.9%	92.31%	6.79%	88.24%
Database 3	Marine	blast.10.95	149	7	65	67.42	95.51	order	67.42%	3.17%	29.41%	67.42%	95.51%
Database 3	Marine	blast.3.90	190	16	15	85.97	92.23	order	85.97%	7.24%	6.79%	85.97%	92.23%
Database 3	Marine	naive.70	187	10	24	84.62	94.92	order	84.62%	4.52%	10.86%	84.62%	94.92%
Database 3	Marine	naive.80	183	10	28	82.81	94.82	order	82.81%	4.52%	12.67%	82.81%	94.82%
Database 3	Marine	naive.90	171	8	42	77.38	95.53	order	77.38%	3.62%	19%	77.38%	95.53%
Database 4	Marine	blast.1.90	199	22	0	90.05	90.05	order	90.05%	9.95%	0%	90.05%	90.05%
Database 4	Marine	blast.1.95	155	21	45	70.14	88.07	order	70.14%	9.5%	20.36%	70.14%	88.07%
Database 4	Marine	blast.1.99	46	2	173	20.81	95.83	order	20.81%	0.9%	78.28%	20.81%	95.83%
Database 4	Marine	blast.10.95	169	8	44	76.47	95.48	order	76.47%	3.62%	19.91%	76.47%	95.48%
Database 4	Marine	blast.3.90	211	9	1	95.48	95.91	order	95.48%	4.07%	0.45%	95.48%	95.91%
Database 4	Marine	naive.70	196	9	16	88.69	95.61	order	88.69%	4.07%	7.24%	88.69%	95.61%
Database 4	Marine	naive.80	195	9	17	88.24	95.59	order	88.24%	4.07%	7.69%	88.24%	95.59%
Database 4	Marine	naive.90	194	9	18	87.78	95.57	order	87.78%	4.07%	8.14%	87.78%	95.57%
Database 5	Marine	blast.1.90	199	22	0	90.05	90.05	order	90.05%	9.95%	0%	90.05%	90.05%
Database 5	Marine	blast.1.95	155	21	45	70.14	88.07	order	70.14%	9.5%	20.36%	70.14%	88.07%
Database 5	Marine	blast.1.99	46	2	173	20.81	95.83	order	20.81%	0.9%	78.28%	20.81%	95.83%
Database 5	Marine	blast.10.95	169	8	44	76.47	95.48	order	76.47%	3.62%	19.91%	76.47%	95.48%
Database 5	Marine	blast.3.90	211	9	1	95.48	95.91	order	95.48%	4.07%	0.45%	95.48%	95.91%
Database 5	Marine	naive.70	198	9	14	89.59	95.65	order	89.59%	4.07%	6.33%	89.59%	95.65%
Database 5	Marine	naive.80	197	9	15	89.14	95.63	order	89.14%	4.07%	6.79%	89.14%	95.63%
Database 5	Marine	naive.90	196	9	16	88.69	95.61	order	88.69%	4.07%	7.24%	88.69%	95.61%
Database 1	Terrestrial	blast.1.90	67	48	2	57.26	58.26	order	57.26%	41.03%	1.71%	57.26%	58.26%
Database 1	Terrestrial	blast.1.95	65	44	8	55.56	59.63	order	55.56%	37.61%	6.84%	55.56%	59.63%
Database 1	Terrestrial	blast.1.99	29	36	52	24.79	44.62	order	24.79%	30.77%	44.44%	24.79%	44.62%
Database 1	Terrestrial	blast.10.95	65	44	8	55.56	59.63	order	55.56%	37.61%	6.84%	55.56%	59.63%
Database 1	Terrestrial	blast.3.90	68	47	2	58.12	59.13	order	58.12%	40.17%	1.71%	58.12%	59.13%
Database 1	Terrestrial	naive.70	67	47	3	57.26	58.77	order	57.26%	40.17%	2.56%	57.26%	58.77%
Database 1	Terrestrial	naive.80	67	47	3	57.26	58.77	order	57.26%	40.17%	2.56%	57.26%	58.77%
Database 1	Terrestrial	naive.90	67	47	3	57.26	58.77	order	57.26%	40.17%	2.56%	57.26%	58.77%
Database 2	Terrestrial	blast.1.90	68	47	2	58.12	59.13	order	58.12%	40.17%	1.71%	58.12%	59.13%
Database 2	Terrestrial	blast.1.95	65	44	8	55.56	59.63	order	55.56%	37.61%	6.84%	55.56%	59.63%
Database 2	Terrestrial	blast.1.99	28	34	55	23.93	45.16	order	23.93%	29.06%	47.01%	23.93%	45.16%
Database 2	Terrestrial	blast.10.95	64	37	16	54.7	63.37	order	54.7%	31.62%	13.68%	54.7%	63.37%
Database 2	Terrestrial	blast.3.90	68	47	2	58.12	59.13	order	58.12%	40.17%	1.71%	58.12%	59.13%
Database 2	Terrestrial	naive.70	66	47	4	56.41	58.41	order	56.41%	40.17%	3.42%	56.41%	58.41%
Database 2	Terrestrial	naive.80	66	47	4	56.41	58.41	order	56.41%	40.17%	3.42%	56.41%	58.41%
Database 2	Terrestrial	naive.90	63	37	17	53.85	63	order	53.85%	31.62%	14.53%	53.85%	63%
Database 3	Terrestrial	blast.1.90	115	0	2	98.29	100	order	98.29%	0%	1.71%	98.29%	100%
Database 3	Terrestrial	blast.1.95	109	0	8	93.16	100	order	93.16%	0%	6.84%	93.16%	100%
Database 3	Terrestrial	blast.1.99	60	0	57	51.28	100	order	51.28%	0%	48.72%	51.28%	100%
Database 3	Terrestrial	blast.10.95	107	0	10	91.45	100	order	91.45%	0%	8.55%	91.45%	100%
Database 3	Terrestrial	blast.3.90	115	0	2	98.29	100	order	98.29%	0%	1.71%	98.29%	100%
Database 3	Terrestrial	naive.70	116	0	1	99.15	100	order	99.15%	0%	0.85%	99.15%	100%
Database 3	Terrestrial	naive.80	116	0	1	99.15	100	order	99.15%	0%	0.85%	99.15%	100%
Database 3	Terrestrial	naive.90	116	0	1	99.15	100	order	99.15%	0%	0.85%	99.15%	100%
Database 4	Terrestrial	blast.1.90	115	0	2	98.29	100	order	98.29%	0%	1.71%	98.29%	100%
Database 4	Terrestrial	blast.1.95	109	0	8	93.16	100	order	93.16%	0%	6.84%	93.16%	100%
Database 4	Terrestrial	blast.1.99	60	0	57	51.28	100	order	51.28%	0%	48.72%	51.28%	100%
Database 4	Terrestrial	blast.10.95	107	0	10	91.45	100	order	91.45%	0%	8.55%	91.45%	100%
Database 4	Terrestrial	blast.3.90	115	0	2	98.29	100	order	98.29%	0%	1.71%	98.29%	100%
Database 4	Terrestrial	naive.70	116	1	0	99.15	99.15	order	99.15%	0.85%	0%	99.15%	99.15%
Database 4	Terrestrial	naive.80	116	0	1	99.15	100	order	99.15%	0%	0.85%	99.15%	100%
Database 4	Terrestrial	naive.90	116	0	1	99.15	100	order	99.15%	0%	0.85%	99.15%	100%
Database 5	Terrestrial	blast.1.90	115	0	2	98.29	100	order	98.29%	0%	1.71%	98.29%	100%
Database 5	Terrestrial	blast.1.95	109	0	8	93.16	100	order	93.16%	0%	6.84%	93.16%	100%
Database 5	Terrestrial	blast.1.99	60	0	57	51.28	100	order	51.28%	0%	48.72%	51.28%	100%
Database 5	Terrestrial	blast.10.95	107	0	10	91.45	100	order	91.45%	0%	8.55%	91.45%	100%
Database 5	Terrestrial	blast.3.90	115	0	2	98.29	100	order	98.29%	0%	1.71%	98.29%	100%
Database 5	Terrestrial	naive.70	117	0	0	100	100	order	100%	0%	0%	100%	100%
Database 5	Terrestrial	naive.80	117	0	0	100	100	order	100%	0%	0%	100%	100%
Database 5	Terrestrial	naive.90	117	0	0	100	100	order	100%	0%	0%	100%	100%
